,Time,SOC,Power_hardware,Power_sol_pan
1682,466.9444444,0.3807678628081823,5.4,0.0
1683,467.2222222,0.38055046361714107,5.4,0.0
1684,467.5,0.380333056542568,5.4,0.0
1685,467.7777778,0.38011564158370287,5.4,0.0
1686,468.0555556,0.37930112926171794,20.18,0.0
1687,468.3333333,0.3784865206590619,20.18,0.0
1688,468.6111111,0.3776718166860187,20.18,0.0
1689,468.8888889,0.3768570173102599,20.18,0.0
1690,469.1666667,0.37604212279280114,20.18,0.0
1691,469.4444444,0.3752271325145878,20.18,0.0
1692,469.7222222,0.3744120467365638,20.18,0.0
1693,470.0,0.3735968587646532,20.18,0.0
1694,470.2777778,0.3727815659867053,20.18,0.0
1695,470.5555556,0.37196616865653853,20.18,0.0
1696,470.8333333,0.3711506661473545,20.18,0.0
1697,471.1111111,0.37093295384810465,5.4,0.0
1698,471.3888889,0.37071523354761754,5.4,0.0
1699,471.6666667,0.37049750532348624,5.4,0.0
1700,471.9444444,0.37027976901815995,5.4,0.0
1701,472.2222222,0.3700620247092286,5.4,0.0
1702,472.5,0.3698442723959025,5.4,0.0
1703,472.7777778,0.36962651216388226,5.4,0.0
1704,473.0555556,0.3694087441252417,5.4,0.0
1705,473.3333333,0.36919096812242286,5.4,0.0
1706,473.6111111,0.3689731842330516,5.4,0.0
1707,473.8888889,0.3687553924563598,5.4,0.0
1708,474.1666667,0.3673293451309008,35.18,0.0
1709,474.4444444,0.36590296902892033,35.18,0.0
1710,474.7222222,0.36447626442949566,35.18,0.0
1711,475.0,0.3630492291028175,35.18,0.0
1712,475.2777778,0.3616218593647238,35.18,0.0
1713,475.5555556,0.3601941554805824,35.18,0.0
1714,475.8333333,0.35876611617364035,35.18,0.0
1715,476.1111111,0.35733774175723987,35.18,0.0
1716,476.3888889,0.3559090319895773,35.18,0.0
1717,476.6666667,0.3544799871353213,35.18,0.0
1718,476.9444444,0.35305061512545155,35.18,0.0
1719,477.2222222,0.3522237343265194,20.4,0.0
1720,477.5,0.3513967501292928,20.4,0.0
1721,477.7777778,0.3505696624956564,20.4,0.0
1722,478.0555556,0.34974247168525957,20.4,0.0
1723,478.3333333,0.34891517257299837,20.4,0.0
1724,478.6111111,0.34808775547447424,20.4,0.0
1725,478.8888889,0.3472602203379296,20.4,0.0
1726,479.1666667,0.347041718110449,5.4,0.0
1727,479.4444444,0.34682320742632894,5.4,0.0
1728,479.7222222,0.34660468836335173,5.4,0.0
1729,480.0,0.3457858929163898,20.18,0.0
1730,480.2777778,0.34496698190107894,20.18,0.0
1731,480.5555556,0.34414795556199695,20.18,0.0
1732,480.8333333,0.34332881325568493,20.18,0.0
1733,481.1111111,0.3425095552260898,20.18,0.0
1734,481.3888889,0.3416901814223111,20.18,0.0
1735,481.6666667,0.3408706920884263,20.18,0.0
1736,481.9444444,0.34005108658346644,20.18,0.0
1737,482.2222222,0.33923136515138874,20.18,0.0
1738,482.5,0.33841152336599944,20.18,0.0
