,Time_therm,SOC,Power_hardware,Power_sol_pan,Temperature
752,208.6111111,0.9305721269823318,20.18,0.0,12.52424
753,208.8888889,0.929855982496957,20.18,0.0,12.42714
754,209.1666667,0.9296645630438903,5.4,0.0,12.33131
755,209.4444444,0.9294731388394593,5.4,0.0,12.23679
756,209.7222222,0.9292817099522854,5.4,0.0,12.14191
757,210.0,0.9290902763820819,5.4,0.0,12.04719
758,210.2777778,0.9288988381285608,5.4,0.0,11.95165
759,210.5555556,0.9287073952603543,5.4,0.0,11.85457
760,210.8333333,0.9285159476393378,5.4,0.0,11.7567
761,211.1111111,0.9283244953341412,5.4,0.0,11.65741
762,211.3888889,0.9281330383444777,5.4,0.0,11.55749
763,211.6666667,0.9279415767389854,5.4,0.0,11.45623
764,211.9444444,0.927750110379526,5.4,0.0,11.35415
765,212.2222222,0.9270337125454906,20.18,0.0,11.25067
766,212.5,0.9263172583723601,20.18,0.0,11.14673
767,212.7777778,0.9256007478477684,20.18,0.0,11.04376
768,213.0555556,0.9248841812173082,20.18,0.0,10.94156
769,213.3333333,0.9241675574402148,20.18,0.0,10.84096
770,213.6111111,0.9234508741026705,20.18,0.0,10.74163
771,213.8888889,0.9227341311903011,20.18,0.0,10.64387
772,214.1666667,0.9220173289467756,20.18,0.0,10.54724
773,214.4444444,0.9213004668416316,20.18,0.0,10.45254
774,214.7222222,0.9205835451185045,20.18,0.0,10.35945
775,215.0,0.9198665637629966,20.18,0.0,10.26782
776,215.2777778,0.9196749224069823,5.4,0.0,10.17671
777,215.5555556,0.9194832768726032,5.4,0.0,10.08728
778,215.8333333,0.9192916270216439,5.4,0.0,9.996748
779,216.1111111,0.9190999729228637,5.4,0.0,9.906355
780,216.3888889,0.918908314576031,5.4,0.0,9.814797
781,216.6666667,0.9187166520499125,5.4,0.0,9.722183
782,216.9444444,0.9185249852062809,5.4,0.0,9.627852
783,217.2222222,0.9183333141139015,5.4,0.0,9.533539
784,217.5,0.9181416387725424,5.4,0.0,9.437511
785,217.7777778,0.9179499591819716,5.4,0.0,9.340201
786,218.0555556,0.917232764209262,20.18,0.0,9.242186
787,218.3333333,0.9165155187627071,20.18,0.0,9.143332
788,218.6111111,0.915798223090754,20.18,0.0,9.044556
789,218.8888889,0.9150808771836746,20.18,0.0,8.945787
790,219.1666667,0.9143634812900002,20.18,0.0,8.849203
791,219.4444444,0.9136460348942874,20.18,0.0,8.753066
792,219.7222222,0.9129285382466185,20.18,0.0,8.658475
793,220.0,0.9122109913374679,20.18,0.0,8.565363
794,220.2777778,0.911493394157308,20.18,0.0,8.473674
795,220.5555556,0.9107757469549603,20.18,0.0,8.384171
796,220.8333333,0.9100580492042031,20.18,0.0,8.295186
797,221.1111111,0.9091884882463717,24.44,0.0,8.208443
798,221.3888889,0.9083188494018211,24.44,0.0,8.124775
799,221.6666667,0.9074491325497132,24.44,0.0,8.044098
800,221.9444444,0.906579337043187,24.44,0.0,7.966027
801,222.2222222,0.9057094631746112,24.44,0.0,7.889083
802,222.5,0.9048395109232742,24.44,0.0,7.814649
803,222.7777778,0.903969479412585,24.44,0.0,7.740772
804,223.0555556,0.9037775238345609,5.4,0.0,7.668633
805,223.3333333,0.9035855636362582,5.4,0.0,7.595691
806,223.6111111,0.9033935988865078,5.4,0.0,7.520767
807,223.8888889,0.9032016295850385,5.4,0.0,7.444068
808,224.1666667,0.9024833583310867,20.18,0.0,7.366095
809,224.4444444,0.9017650300329056,20.18,0.0,7.287012
810,224.7222222,0.9010466449360374,20.18,0.0,7.207485
811,225.0,0.9003282030274622,20.18,0.0,7.128776
812,225.2777778,0.8996097042941551,20.18,0.0,7.050845
813,225.5555556,0.8988911489900488,20.18,0.0,6.973875
814,225.8333333,0.8981725365919253,20.18,0.0,6.897976
815,226.1111111,0.8974538673456517,20.18,0.0,6.823214
816,226.3888889,0.8967351412384312,20.18,0.0,6.749717
817,226.6666667,0.8960163585162239,20.18,0.0,6.677155
818,226.9444444,0.8952975186487198,20.18,0.0,6.606344
819,227.2222222,0.8951053792713825,5.4,0.0,6.536035
820,227.5,0.8949132352485999,5.4,0.0,6.466121
821,227.7777778,0.8947210863109543,5.4,0.0,6.396111
822,228.0555556,0.8945289322004002,5.4,0.0,6.32507
823,228.3333333,0.8943367727782199,5.4,0.0,6.252737
824,228.6111111,0.8941446081132188,5.4,0.0,6.178902
825,228.8888889,0.8939524382050282,5.4,0.0,6.104251
826,229.1666667,0.8937602631224627,5.4,0.0,6.027273
827,229.4444444,0.8935680827267893,5.4,0.0,5.95002
828,229.7222222,0.8933758970868205,5.4,0.0,5.870508
829,230.0,0.8931837062021877,5.4,0.0,5.790132
830,230.2777778,0.8924645939037615,20.18,0.0,5.708245
831,230.5555556,0.8917454153656066,20.18,0.0,5.626041
832,230.8333333,0.8910261700520191,20.18,0.0,5.543662
833,231.1111111,0.890306858203953,20.18,0.0,5.462733
834,231.3888889,0.8895874798034732,20.18,0.0,5.38275
835,231.6666667,0.8888680314473364,20.18,0.0,5.303724
836,231.9444444,0.8881485098858939,20.18,0.0,5.225454
837,232.2222222,0.887428915356512,20.18,0.0,5.149027
838,232.5,0.8867092478375711,20.18,0.0,5.074129
839,232.7777778,0.8859895073074406,20.18,0.0,4.999987
840,233.0555556,0.8857971271901511,5.4,0.0,4.927494
841,233.3333333,0.8856047412905326,5.4,0.0,4.855365
842,233.6111111,0.8854123496773969,5.4,0.0,4.784129
843,233.8888889,0.8852199523503016,5.4,0.0,4.711627
844,234.1666667,0.8850275493780689,5.4,0.0,4.638814
845,234.4444444,0.8848351406217277,5.4,0.0,4.564329
846,234.7222222,0.8846427259554313,5.4,0.0,4.488667
847,235.0,0.8844503053461701,5.4,0.0,4.4123
848,235.2777778,0.884257878793463,5.4,0.0,4.333997
849,235.5555556,0.8840654463661037,5.4,0.0,4.254009
850,235.8333333,0.8838730079250615,5.4,0.0,4.17364
851,236.1111111,0.8831529504218325,20.18,0.0,4.091551
852,236.3888889,0.882432816608875,20.18,0.0,4.008211
853,236.6666667,0.8817126067218087,20.18,0.0,3.925982
854,236.9444444,0.8809923202184419,20.18,0.0,3.84328
855,237.2222222,0.8802719573343417,20.18,0.0,3.762215
856,237.5,0.8795515180458151,20.18,0.0,3.682038
857,237.7777778,0.8788309943564612,20.18,0.0,3.602928
858,238.0555556,0.8781103816593807,20.18,0.0,3.525997
859,238.3333333,0.8773896794021291,20.18,0.0,3.449525
860,238.6111111,0.8766688878104364,20.18,0.0,3.3753
861,238.8888889,0.8759480068506234,20.18,0.0,3.301492
862,239.1666667,0.8757553276759734,5.4,0.0,3.229537
863,239.4444444,0.8755626418051174,5.4,0.0,3.157836
864,239.7222222,0.8753699493068056,5.4,0.0,3.086907
865,240.0,0.8751772501804257,5.4,0.0,3.014369
866,240.2777778,0.8749845444253658,5.4,0.0,2.940825
867,240.5555556,0.874791832060363,5.4,0.0,2.867573
868,240.8333333,0.874599112372263,5.4,0.0,2.791257
869,241.1111111,0.874406385429703,5.4,0.0,2.714922
870,241.3888889,0.874213651231947,5.4,0.0,2.636749
871,241.6666667,0.8740209098476454,5.4,0.0,2.5576
872,241.9444444,0.8738281611372907,5.4,0.0,2.477369
873,242.2222222,0.8731068932510283,20.18,0.0,2.395793
874,242.5,0.8723855294523066,20.18,0.0,2.313359
875,242.7777778,0.8716640697032004,20.18,0.0,2.231262
876,243.0555556,0.8709425142255192,20.18,0.0,2.150732
877,243.3333333,0.8702208624618011,20.18,0.0,2.070578
878,243.6111111,0.8694991146337703,20.18,0.0,1.991976
879,243.8888889,0.8687772640521737,20.18,0.0,1.914559
880,244.1666667,0.8680553080004527,20.18,0.0,1.83897
881,244.4444444,0.8673332459141356,20.18,0.0,1.76481
882,244.7222222,0.8666110780083564,20.18,0.0,1.691197
883,245.0,0.8658888042383508,20.18,0.0,1.619096
884,245.2777778,0.8656957530873045,5.4,0.0,1.548794
885,245.5555556,0.8655026937760706,5.4,0.0,1.478802
886,245.8333333,0.8653096261646985,5.4,0.0,1.408309
887,246.1111111,0.8651165503217353,5.4,0.0,1.337607
