solar_pow,time
115.16373357597146,61148.260416666664
115.25133325358796,61148.270833333336
115.3385495714567,61148.28125
115.42537615854755,61148.291666666664
115.51180654217798,61148.302083333336
115.59783415823597,61148.3125
115.68345236241935,61148.322916666664
115.76865444043409,61148.333333333336
115.85343361895649,61148.34375
115.93778307577449,61148.354166666664
116.02169594979537,61148.364583333336
116.10516535156194,61148.375
116.18818437240263,61148.385416666664
116.27074609476195,61148.395833333336
116.35284360098049,61148.40625
116.43446998301273,61148.416666666664
116.51561835103223,61148.427083333336
116.5962818420557,61148.4375
116.67645362875756,61148.447916666664
116.75612692742925,61148.458333333336
116.83529500578227,61148.46875
116.91395119079328,61148.479166666664
116.99208887609308,61148.489583333336
117.06970152874541,61148.5
117.1467826963384,61148.510416666664
117.22332601342903,61148.520833333336
117.29932520750344,61148.53125
117.374774105162,61148.541666666664
117.4496666376956,61148.552083333336
117.523996846156,61148.5625
117.59775888659814,61148.572916666664
117.67094703463611,61148.583333333336
117.74355568984647,61148.59375
117.81557938000307,61148.604166666664
117.88701276468264,61148.614583333336
117.95785063879723,61148.625
118.02808793598115,61148.635416666664
118.09771973121255,61148.645833333336
118.16674124360284,61148.65625
118.23514783865377,61148.666666666664
118.30293503034595,61148.677083333336
118.37009848285214,61148.6875
118.43663401198297,61148.697916666664
118.50253758655226,61148.708333333336
118.56780532905553,61148.71875
118.63243351653762,61148.729166666664
118.69641858101099,61148.739583333336
118.75975710949695,61148.75
118.82244584395038,61148.760416666664
118.88448168115814,61148.770833333336
118.94586167183097,61148.78125
119.00658302002807,61148.791666666664
119.06664308213038,61148.802083333336
119.12603936551582,61148.8125
119.18476952716907,61148.822916666664
119.24283137207867,61148.833333333336
119.30022285121578,61148.84375
119.35694205976534,61148.854166666664
119.41298723468523,61148.864583333336
119.46835675237679,61148.875
119.52304912616601,61148.885416666664
119.57706300357732,61148.895833333336
119.63039716332707,61148.90625
119.68305051249283,61148.916666666664
119.73502208317377,61148.927083333336
119.78631102935819,61148.9375
